year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model
2059,VA_US,7.0,18.184,18,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2060,VA_US,7.0,19.172,19,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2061,VA_US,7.0,20.214,20,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2062,VA_US,7.0,21.311,21,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2063,VA_US,7.0,22.467,22,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2064,VA_US,7.0,23.684,24,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2065,VA_US,7.0,24.967,25,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2066,VA_US,7.0,26.318,26,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2067,VA_US,7.0,27.74,28,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2068,VA_US,7.0,29.238,29,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2069,VA_US,7.0,30.816,31,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2070,VA_US,7.0,32.477,32,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2071,VA_US,7.0,34.225,34,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2072,VA_US,7.0,36.066,36,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2073,VA_US,7.0,38.003,38,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2074,VA_US,7.0,40.041,40,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2075,VA_US,7.0,42.186,42,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2076,VA_US,7.0,44.442,44,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2077,VA_US,7.0,46.816,47,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2078,VA_US,7.0,49.312,49,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2079,VA_US,7.0,51.938,52,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2080,VA_US,7.0,54.698,55,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2081,VA_US,7.0,57.599,58,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2082,VA_US,7.0,60.648,61,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2083,VA_US,7.0,63.852,64,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2084,VA_US,7.0,67.218,67,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2085,VA_US,7.0,70.753,71,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2086,VA_US,7.0,74.465,74,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2087,VA_US,7.0,78.362,78,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2088,VA_US,7.0,82.452,82,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2089,VA_US,7.0,86.743,87,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2090,VA_US,7.0,91.245,91,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2091,VA_US,7.0,95.965,96,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2092,VA_US,7.0,100.913,101,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2093,VA_US,7.0,106.099,106,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2094,VA_US,7.0,111.531,112,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2095,VA_US,7.0,117.22,117,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2096,VA_US,7.0,123.175,123,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2097,VA_US,7.0,129.407,129,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2098,VA_US,7.0,135.924,136,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2099,VA_US,7.0,142.738,143,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2100,VA_US,7.0,149.859,150,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2035,AK_US,4.0,4.841,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2036,AK_US,4.0,4.934,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2037,AK_US,4.0,5.029,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2038,AK_US,4.0,5.126,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2039,AK_US,4.0,5.225,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2040,AK_US,4.0,5.326,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2041,AK_US,4.0,5.428,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2042,AK_US,4.0,5.533,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2043,AK_US,4.0,5.639,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2044,AK_US,4.0,5.748,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2045,AK_US,4.0,5.859,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2046,AK_US,4.0,5.972,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2047,AK_US,4.0,6.087,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2048,AK_US,4.0,6.204,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2049,AK_US,4.0,6.324,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2050,AK_US,4.0,6.445,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2051,AK_US,4.0,6.797,7,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2052,AK_US,4.0,7.168,7,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2053,AK_US,4.0,7.559,8,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2054,AK_US,4.0,7.971,8,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2055,AK_US,4.0,8.405,8,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2056,AK_US,4.0,8.863,9,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2057,AK_US,4.0,9.345,9,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2058,AK_US,4.0,9.853,10,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2059,AK_US,4.0,10.389,10,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2060,AK_US,4.0,10.953,11,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2061,AK_US,4.0,11.548,12,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2062,AK_US,4.0,12.174,12,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2063,AK_US,4.0,12.834,13,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2064,AK_US,4.0,13.529,14,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2065,AK_US,4.0,14.261,14,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2066,AK_US,4.0,15.032,15,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2067,AK_US,4.0,15.844,16,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2068,AK_US,4.0,16.699,17,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2069,AK_US,4.0,17.599,18,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2070,AK_US,4.0,18.547,19,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2071,AK_US,4.0,19.545,20,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2072,AK_US,4.0,20.595,21,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2073,AK_US,4.0,21.699,22,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2074,AK_US,4.0,22.862,23,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2075,AK_US,4.0,24.085,24,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2076,AK_US,4.0,25.372,25,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2077,AK_US,4.0,26.725,27,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2078,AK_US,4.0,28.148,28,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2079,AK_US,4.0,29.644,30,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2080,AK_US,4.0,31.217,31,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2081,AK_US,4.0,32.87,33,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2082,AK_US,4.0,34.608,35,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2083,AK_US,4.0,36.433,36,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2084,AK_US,4.0,38.349,38,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2085,AK_US,4.0,40.362,40,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2086,AK_US,4.0,42.475,42,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2087,AK_US,4.0,44.693,45,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2088,AK_US,4.0,47.021,47,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2089,AK_US,4.0,49.462,49,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2090,AK_US,4.0,52.022,52,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2091,AK_US,4.0,54.706,55,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2092,AK_US,4.0,57.519,58,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2093,AK_US,4.0,60.465,60,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2094,AK_US,4.0,63.551,64,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2095,AK_US,4.0,66.782,67,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2096,AK_US,4.0,70.163,70,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2097,AK_US,4.0,73.699,74,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2098,AK_US,4.0,77.397,77,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2099,AK_US,4.0,81.261,81,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2100,AK_US,4.0,85.298,85,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2025,GF_FR,7.0,7.0,7,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2026,GF_FR,7.0,7.141,7,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2027,GF_FR,7.0,7.285,7,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2028,GF_FR,7.0,7.432,7,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2029,GF_FR,7.0,7.582,8,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2030,GF_FR,7.0,7.736,8,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2031,GF_FR,7.0,7.892,8,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2032,GF_FR,7.0,8.051,8,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2033,GF_FR,7.0,8.213,8,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2034,GF_FR,7.0,8.379,8,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2035,GF_FR,7.0,8.548,9,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2036,GF_FR,7.0,8.721,9,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2037,GF_FR,7.0,8.897,9,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2038,GF_FR,7.0,9.076,9,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2039,GF_FR,7.0,9.26,9,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2040,GF_FR,7.0,9.447,9,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2041,GF_FR,7.0,9.637,10,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2042,GF_FR,7.0,9.832,10,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2043,GF_FR,7.0,10.03,10,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2044,GF_FR,7.0,10.233,10,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2045,GF_FR,7.0,10.439,10,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2046,GF_FR,7.0,10.65,11,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2047,GF_FR,7.0,10.865,11,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2048,GF_FR,7.0,11.084,11,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2049,GF_FR,7.0,11.308,11,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2050,GF_FR,7.0,11.536,12,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2051,GF_FR,7.0,12.166,12,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2052,GF_FR,7.0,12.83,13,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2053,GF_FR,7.0,13.529,14,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2054,GF_FR,7.0,14.267,14,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2055,GF_FR,7.0,15.044,15,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2056,GF_FR,7.0,15.864,16,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2057,GF_FR,7.0,16.727,17,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2058,GF_FR,7.0,17.637,18,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2059,GF_FR,7.0,18.596,19,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2060,GF_FR,7.0,19.606,20,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2061,GF_FR,7.0,20.671,21,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2062,GF_FR,7.0,21.792,22,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2063,GF_FR,7.0,22.974,23,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2064,GF_FR,7.0,24.219,24,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2065,GF_FR,7.0,25.53,26,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2066,GF_FR,7.0,26.91,27,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2067,GF_FR,7.0,28.365,28,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2068,GF_FR,7.0,29.896,30,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2069,GF_FR,7.0,31.508,32,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2070,GF_FR,7.0,33.206,33,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2071,GF_FR,7.0,34.992,35,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2072,GF_FR,7.0,36.873,37,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2073,GF_FR,7.0,38.852,39,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2074,GF_FR,7.0,40.935,41,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2075,GF_FR,7.0,43.127,43,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2076,GF_FR,7.0,45.432,45,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2077,GF_FR,7.0,47.857,48,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2078,GF_FR,7.0,50.407,50,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2079,GF_FR,7.0,53.088,53,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2080,GF_FR,7.0,55.907,56,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2081,GF_FR,7.0,58.87,59,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2082,GF_FR,7.0,61.984,62,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2083,GF_FR,7.0,65.256,65,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2084,GF_FR,7.0,68.692,69,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2085,GF_FR,7.0,72.301,72,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2086,GF_FR,7.0,76.091,76,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2087,GF_FR,7.0,80.068,80,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2088,GF_FR,7.0,84.243,84,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2089,GF_FR,7.0,88.622,89,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2090,GF_FR,7.0,93.215,93,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2091,GF_FR,7.0,98.03,98,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2092,GF_FR,7.0,103.078,103,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2093,GF_FR,7.0,108.367,108,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2094,GF_FR,7.0,113.906,114,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2095,GF_FR,7.0,119.707,120,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2096,GF_FR,7.0,125.777,126,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2097,GF_FR,7.0,132.128,132,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2098,GF_FR,7.0,138.77,139,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2099,GF_FR,7.0,145.713,146,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2100,GF_FR,7.0,152.967,153,7.0,1.1,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
